num_acc;mois;jour;hrmn;lum;agg;int;atm;col;com;adr;gps;lat;long;dep;annee
2,005E+11;1;12;1900;3;2;1;1;3;11;CD41B;M;5051500;294400;590;2005
2,005E+11;1;21;1600;1;2;1;1;1;51;rue de Lille;M;5053700;280200;590;2005
2,005E+11;1;21;1845;3;1;1;2;1;51;;M;5054600;280000;590;2005
2,005E+11;1;4;1615;1;1;1;1;5;82;;M;5098700;240800;590;2005
2,005E+11;1;10;1945;3;1;1;3;6;478;;M;5096400;247500;590;2005
2,005E+11;1;28;1415;1;1;1;8;6;82;;M;5099500;239700;590;2005
2,005E+11;1;3;1530;1;1;1;1;3;130;;M;0;0;590;2005
2,005E+11;1;18;2115;5;2;1;2;6;404;le hameau du lac;M;5105200;253300;590;2005
2,005E+11;1;25;1715;1;1;2;8;3;309;;M;5097300;257100;590;2005
2,005E+11;1;29;2015;3;1;1;2;6;260;;M;5106500;252400;590;2005
2,005E+11;1;23;230;3;1;1;1;3;401;;M;0;0;590;2005
2,005E+11;1;11;615;5;2;1;1;6;212;Rue de Lille;M;5064700;273300;590;2005
2,005E+11;1;1;800;1;1;1;1;6;282;;M;5081700;248300;590;2005
2,005E+11;1;30;1930;5;2;1;2;6;202;;M;5067800;283400;590;2005
2,005E+11;1;28;1930;5;2;1;1;6;44;rue de Willems;M;5061500;325200;590;2005
2,005E+11;1;19;2030;3;1;1;1;3;144;;M;5048800;348700;590;2005
2,005E+11;1;9;2000;5;2;1;2;3;36;41 Rue d'Esquilbet;M;5015000;387000;590;2005
2,005E+11;1;3;730;3;1;1;9;1;531;;M;0;0;590;2005
2,005E+11;1;9;1630;1;2;1;1;1;139;RUE H.BARBUSSE;M;5012300;340500;590;2005
2,005E+11;1;30;2030;5;2;1;2;6;139;rue de Paris;M;5012300;341500;590;2005
2,005E+11;1;31;815;1;2;1;1;1;631;RUE Pierre Flinoy;M;5007200;333800;590;2005
2,005E+11;1;18;1930;3;1;1;1;2;10;;M;5016500;313500;590;2005
2,005E+11;1;12;1800;5;2;1;1;3;449;RUE JEAN LAGACHE;M;0;0;590;2005
2,005E+11;1;15;1100;1;1;1;1;1;186;;M;5020100;409600;590;2005
2,005E+11;1;13;900;1;2;1;1;6;421;RUE NEUVE;M;5011700;308700;620;2005
2,005E+11;1;11;1030;1;2;2;2;6;817;4 route Nationale 39;M;0;0;620;2005
2,005E+11;1;26;1130;1;1;1;1;1;568;;M;0;0;620;2005
2,005E+11;1;2;45;3;1;9;2;1;298;;M;5023800;317400;620;2005
2,005E+11;1;6;1900;3;1;1;1;1;384;;M;0;0;620;2005
2,005E+11;1;13;1945;5;2;1;1;3;331;rue de la chapelle;M;5030000;284000;620;2005
2,005E+11;1;8;1600;1;2;1;8;4;865;RUE DU 8 MAI 1945;M;5032900;298100;620;2005
2,005E+11;1;18;900;1;2;0;3;3;770;;;NA;NA;620;2005
