num_acc;catr;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;lartpc;larrout;surf;infra;situ;env1;annee;vma
2,005E+11;3;41;0;B;2;2;1;430;0;1;1;0;63;1;0;1;0;2005;NA
2,005E+11;2;41;0;;0;2;0;0;1;1;1;0;100;1;0;5;0;2005;NA
2,005E+11;2;41;0;;0;0;0;0;1;1;1;0;0;2;0;5;0;2005;NA
2,005E+11;3;916;0;;2;2;0;0;0;1;1;0;0;1;0;1;0;2005;NA
2,005E+11;3;110;0;;2;2;24;630;0;1;3;0;59;2;0;3;0;2005;NA
2,005E+11;3;916;0;;2;2;47;0;0;1;3;0;70;2;0;5;0;2005;NA
2,005E+11;3;600;0;;2;0;6;638;0;1;1;0;78;1;0;1;0;2005;NA
2,005E+11;3;947;0;;2;2;53;900;0;1;3;0;69;1;0;3;0;2005;NA
2,005E+11;3;55;0;;2;2;3;200;0;0;1;0;67;1;0;1;0;2005;NA
2,005E+11;2;1;0;;0;2;32;13;0;1;1;0;70;2;0;1;0;2005;NA
2,005E+11;2;42;0;;2;2;1;860;0;1;1;0;75;0;0;1;0;2005;NA
2,005E+11;3;945;0;;2;2;3;600;0;1;1;0;90;2;0;4;0;2005;NA
2,005E+11;3;916;0;;2;2;25;500;0;1;3;0;71;1;0;3;0;2005;NA
2,005E+11;3;945;0;;2;0;0;0;0;0;1;0;59;2;0;1;0;2005;NA
2,005E+11;3;2;0;;2;2;0;0;0;1;1;0;106;2;0;1;0;2005;NA
2,005E+11;3;368;0;;2;2;1;800;0;1;1;0;57;9;0;1;0;2005;NA
2,005E+11;3;124;0;;2;0;14;200;0;2;1;0;58;2;0;1;0;2005;NA
2,005E+11;3;21;0;;2;2;0;0;0;2;3;0;65;7;0;1;0;2005;NA
2,005E+11;4;0;0;;0;1;0;0;0;1;1;0;0;1;5;1;0;2005;NA
2,005E+11;4;0;0;;2;2;0;0;0;1;3;0;0;2;0;1;0;2005;NA
2,005E+11;3;16;0;;2;0;0;0;0;0;1;0;69;1;0;1;0;2005;NA
2,005E+11;2;30;0;;2;2;4;700;0;1;1;0;0;1;0;1;0;2005;NA
2,005E+11;3;158;0;A;0;0;0;0;0;1;1;0;62;1;0;1;0;2005;NA
2,005E+11;3;963;0;;2;2;28;660;0;1;2;0;55;7;0;1;0;2005;NA
2,005E+11;3;15;0;;2;0;4;450;0;0;1;0;75;1;0;1;0;2005;NA
2,005E+11;2;39;0;;3;2;0;0;1;1;1;44;75;2;0;5;0;2005;NA
2,005E+11;2;17;0;;2;2;0;0;0;3;1;0;72;1;0;1;0;2005;NA
2,005E+11;2;43;0;;2;2;0;0;3;0;1;0;68;2;5;1;0;2005;NA
2,005E+11;3;15;0;E;2;2;25;900;0;2;3;0;64;2;0;1;0;2005;NA
2,005E+11;3;37;0;;2;0;0;0;0;0;1;0;50;1;0;1;0;2005;NA
2,005E+11;3;39;0;;2;0;0;0;0;2;1;0;60;2;0;1;0;2005;NA
2,005E+11;3;937;0;;2;0;40;160;0;1;1;0;710;2;0;1;0;2005;NA
2,005E+11;4;1;0;;2;0;0;0;0;1;1;0;40;1;0;3;0;2005;NA
2,005E+11;3;127;0;;2;0;0;0;0;1;3;0;50;1;0;1;0;2005;NA
2,005E+11;4;0;0;;2;0;0;0;0;1;1;0;63;1;0;1;0;2005;NA
2,005E+11;4;0;0;;2;1;0;0;0;1;1;0;0;1;0;1;0;2005;NA
2,005E+11;2;43;0;;2;0;0;0;0;1;1;0;76;1;0;1;0;2005;NA
2,005E+11;4;1;0;;2;2;0;0;0;1;1;0;53;2;0;1;0;2005;NA
2,005E+11;3;303;0;;2;2;0;0;0;1;1;0;80;2;0;1;0;2005;NA
2,005E+11;3;928;0;;2;2;0;0;0;1;1;0;0;1;0;4;0;2005;NA
2,005E+11;3;143;0;;2;2;4;0;0;1;1;0;57;1;0;1;0;2005;NA
2,005E+11;3;143;0;;2;2;6;250;0;1;3;0;60;2;0;3;0;2005;NA
2,005E+11;3;212;0;;2;0;0;0;0;2;1;0;0;1;0;1;0;2005;NA
2,005E+11;3;189;0;;2;2;0;0;0;1;1;0;62;1;0;0;0;2005;NA
2,005E+11;3;187;0;;2;2;0;10;0;0;0;0;0;0;0;0;0;2005;NA
2,005E+11;3;231;0;;2;0;23;500;0;0;2;0;67;1;0;1;0;2005;NA
2,005E+11;4;228;2;;4;2;5;200;0;1;1;25;20;1;0;1;0;2005;NA
2,005E+11;3;219;0;;2;2;0;0;0;1;1;0;0;2;0;1;0;2005;NA
2,005E+11;3;206;0;;2;2;3;800;0;1;1;0;68;2;0;3;0;2005;NA
2,005E+11;3;86;0;;2;2;0;0;0;4;4;0;0;2;4;1;0;2005;NA
2,005E+11;3;938;0;;2;0;9;800;0;1;1;0;57;2;0;3;0;2005;NA
2,005E+11;2;25;0;;2;2;12;208;0;1;1;0;74;2;0;1;0;2005;NA
2,005E+11;3;102;0;;2;2;11;700;0;2;1;0;42;1;0;3;0;2005;NA
2,005E+11;3;1;0;;2;0;0;0;0;1;4;0;69;2;2;1;0;2005;NA
2,005E+11;3;936;0;;2;2;14;2;0;0;2;0;0;1;0;1;0;2005;NA
2,005E+11;3;1015;0;;2;2;12;300;0;1;1;0;60;2;0;1;0;2005;NA
2,005E+11;3;51;0;;2;2;4;114;0;1;1;0;66;1;0;1;0;2005;NA
2,005E+11;3;933;0;;2;2;0;0;0;1;1;0;68;1;5;1;0;2005;NA
2,005E+11;2;1;1;;2;0;39;400;0;1;1;0;60;1;0;3;0;2005;NA
2,005E+11;3;936;0;;2;2;20;750;0;1;1;0;65;2;0;1;0;2005;NA
2,005E+11;3;4925;0;;2;2;0;0;0;1;1;0;74;1;0;1;0;2005;NA
2,005E+11;3;229;0;;2;0;0;0;0;2;1;0;70;2;0;1;0;2005;NA
2,005E+11;3;10;0;E;2;2;0;0;0;1;1;0;50;0;0;3;0;2005;NA
2,005E+11;4;4;0;;2;0;0;0;0;1;1;0;65;2;0;1;0;2005;NA
2,005E+11;2;2017;0;;2;1;0;0;0;1;3;0;36;1;3;3;0;2005;NA
2,005E+11;2;17;0;;2;2;6;100;0;1;1;0;126;2;0;1;0;2005;NA
2,005E+11;2;17;0;;2;2;0;0;0;1;1;0;65;1;0;1;0;2005;NA
2,005E+11;3;930;0;;2;2;16;200;0;1;3;0;62;2;0;1;0;2005;NA
2,005E+11;3;54;0;;2;2;15;0;0;1;1;0;65;2;0;1;0;2005;NA
2,005E+11;4;0;0;;2;2;0;0;0;2;1;0;60;1;0;1;0;2005;NA
2,005E+11;3;337;0;;2;2;15;530;0;0;1;0;62;2;0;1;0;2005;NA
2,005E+11;2;2;2;N;3;2;0;0;0;1;1;0;73;1;0;1;0;2005;NA
2,005E+11;3;35;0;;2;0;1;0;0;1;1;0;66;1;0;1;0;2005;NA
2,005E+11;3;937;0;;2;2;0;0;0;0;1;0;90;1;6;1;0;2005;NA
2,005E+11;3;937;0;;2;0;27;638;0;1;3;0;55;1;5;1;0;2005;NA
2,005E+11;3;92;0;;0;0;0;0;0;1;3;0;0;1;0;1;0;2005;NA
2,005E+11;2;44;0;;2;2;49;600;0;1;1;0;70;2;0;3;0;2005;NA
2,005E+11;3;56;0;;2;2;15;100;0;2;1;0;0;1;0;1;3;2005;NA
2,005E+11;3;56;0;;2;0;0;0;2;0;1;0;84;2;0;1;0;2005;NA
2,005E+11;3;32;0;;2;2;23;500;0;1;3;10;61;2;0;4;0;2005;NA
2,005E+11;3;925;0;;2;2;0;0;0;2;4;0;0;1;0;3;0;2005;NA
2,005E+11;3;522;0;;2;0;0;350;0;1;1;0;47;1;0;0;0;2005;NA
2,005E+11;3;18;0;;2;2;38;750;0;1;1;0;60;2;0;1;0;2005;NA
2,005E+11;3;4;0;;2;0;23;10;0;1;1;0;64;2;0;1;0;2005;NA
2,005E+11;2;29;0;;2;2;1;0;0;1;1;0;90;7;0;3;0;2005;NA
2,005E+11;3;930;0;;2;2;12;800;0;1;1;0;0;7;0;1;0;2005;NA
2,005E+11;3;8;0;;2;2;36;351;0;1;1;0;0;2;0;1;0;2005;NA
2,005E+11;3;713;0;;2;2;4;300;0;1;1;0;48;1;0;1;0;2005;NA
2,005E+11;2;29;0;;2;2;0;0;0;2;1;0;71;1;0;1;0;2005;NA
2,005E+11;3;1;0;;2;2;62;800;0;0;2;0;72;1;0;1;0;2005;NA
2,005E+11;3;1180;0;;2;2;1;530;0;1;1;0;59;1;5;1;0;2005;NA
2,005E+11;3;481;0;;0;2;1;500;0;2;0;0;50;2;0;3;0;2005;NA
2,005E+11;3;81;0;;2;0;0;0;0;1;2;0;52;1;0;1;0;2005;NA
2,005E+11;2;2;2;;2;2;98;400;0;3;1;142;0;7;0;3;0;2005;NA
2,005E+11;4;0;0;;2;2;0;0;0;1;0;0;35;7;0;1;0;2005;NA
2,005E+11;3;5;0;;2;0;29;0;0;1;1;0;70;1;0;4;0;2005;NA
2,005E+11;2;29;0;;2;2;0;0;0;1;1;21;68;1;0;1;0;2005;NA
2,005E+11;3;28;0;;2;2;47;500;0;1;3;0;0;1;0;1;0;2005;NA
2,005E+11;2;43;0;;2;2;24;450;0;1;1;0;72;1;0;1;0;2005;NA
