num_acc;place;catu;grav;sexe;trajet;secu;locp;actp;etatp;an_nais;num_veh;annee;id_vehicule;secu1;secu2;secu3
2,005E+11;1;1;4;1;1;11;0;0;0;1976;A01;2005;NA;NA;NA;NA
2,005E+11;1;1;3;2;3;11;0;0;0;1968;B02;2005;NA;NA;NA;NA
2,005E+11;2;2;1;1;0;11;0;0;0;1964;B02;2005;NA;NA;NA;NA
2,005E+11;4;2;1;1;0;31;0;0;0;2004;B02;2005;NA;NA;NA;NA
2,005E+11;5;2;1;1;0;11;0;0;0;1998;B02;2005;NA;NA;NA;NA
2,005E+11;3;2;1;2;0;11;0;0;0;1991;B02;2005;NA;NA;NA;NA
2,005E+11;1;1;1;1;5;11;0;0;0;1955;A01;2005;NA;NA;NA;NA
2,005E+11;1;1;3;1;5;21;0;0;0;1979;B02;2005;NA;NA;NA;NA
2,005E+11;1;1;1;1;1;21;0;0;0;1983;A01;2005;NA;NA;NA;NA
2,005E+11;1;1;3;1;1;21;0;0;0;1956;B02;2005;NA;NA;NA;NA
2,005E+11;1;1;3;1;5;11;0;0;0;1920;A01;2005;NA;NA;NA;NA
2,005E+11;2;2;3;2;0;11;0;0;0;1923;A01;2005;NA;NA;NA;NA
2,005E+11;1;1;4;1;1;11;0;0;0;1964;B02;2005;NA;NA;NA;NA
2,005E+11;1;1;4;2;3;11;0;0;0;1972;C03;2005;NA;NA;NA;NA
2,005E+11;1;1;3;1;5;11;0;0;0;1949;A01;2005;NA;NA;NA;NA
2,005E+11;2;2;4;1;0;11;0;0;0;1990;A01;2005;NA;NA;NA;NA
2,005E+11;1;1;2;2;9;11;0;0;0;1951;A01;2005;NA;NA;NA;NA
2,005E+11;1;1;4;1;5;11;0;0;0;1983;A01;2005;NA;NA;NA;NA
2,005E+11;1;1;1;2;4;11;0;0;0;1965;B02;2005;NA;NA;NA;NA
2,005E+11;1;1;3;1;5;11;0;0;0;1978;A01;2005;NA;NA;NA;NA
2,005E+11;1;1;4;1;1;11;0;0;0;1966;A01;2005;NA;NA;NA;NA
2,005E+11;1;1;3;1;5;11;0;0;0;1925;B02;2005;NA;NA;NA;NA
2,005E+11;2;2;4;2;0;11;0;0;0;1926;B02;2005;NA;NA;NA;NA
2,005E+11;1;1;1;1;5;11;0;0;0;1950;A01;2005;NA;NA;NA;NA
2,005E+11;0;3;3;1;5;0;2;3;2;1962;A01;2005;NA;NA;NA;NA
2,005E+11;1;1;1;1;5;11;0;0;0;1972;A01;2005;NA;NA;NA;NA
2,005E+11;1;1;4;2;5;11;0;0;0;1974;B02;2005;NA;NA;NA;NA
2,005E+11;4;2;4;1;0;11;0;0;0;1986;B02;2005;NA;NA;NA;NA
2,005E+11;2;2;4;2;0;11;0;0;0;1984;B02;2005;NA;NA;NA;NA
2,005E+11;1;1;4;1;5;11;0;0;0;1986;A01;2005;NA;NA;NA;NA
2,005E+11;1;1;4;2;1;11;0;0;0;1971;A01;2005;NA;NA;NA;NA
2,005E+11;1;1;1;1;2;11;0;0;0;1985;A01;2005;NA;NA;NA;NA
2,005E+11;2;2;1;2;0;11;0;0;0;1987;A01;2005;NA;NA;NA;NA
2,005E+11;0;3;3;2;5;0;4;3;1;1936;A01;2005;NA;NA;NA;NA
2,005E+11;0;3;3;2;3;0;2;1;1;1938;A01;2005;NA;NA;NA;NA
2,005E+11;1;1;2;1;5;11;0;0;0;1980;A01;2005;NA;NA;NA;NA
2,005E+11;2;2;3;1;0;11;0;0;0;1986;A01;2005;NA;NA;NA;NA
2,005E+11;1;1;4;1;1;11;0;0;0;1957;B02;2005;NA;NA;NA;NA
2,005E+11;1;1;1;1;5;11;0;0;0;1960;A01;2005;NA;NA;NA;NA
2,005E+11;1;1;3;1;5;21;0;0;0;1976;B02;2005;NA;NA;NA;NA
2,005E+11;1;1;1;2;1;11;0;0;0;1976;A01;2005;NA;NA;NA;NA
2,005E+11;1;1;3;2;1;11;0;0;0;1968;B02;2005;NA;NA;NA;NA
2,005E+11;1;1;3;1;5;21;0;0;0;1983;A01;2005;NA;NA;NA;NA
2,005E+11;1;1;1;2;5;11;0;0;0;1952;B02;2005;NA;NA;NA;NA
2,005E+11;1;1;1;1;1;11;0;0;0;1956;A01;2005;NA;NA;NA;NA
2,005E+11;0;3;4;1;5;0;1;3;2;1952;A01;2005;NA;NA;NA;NA
2,005E+11;0;3;4;1;5;0;1;3;2;1949;A01;2005;NA;NA;NA;NA
2,005E+11;1;1;1;2;1;11;0;0;0;1963;A01;2005;NA;NA;NA;NA
2,005E+11;1;1;4;1;1;21;0;0;0;1989;B02;2005;NA;NA;NA;NA
2,005E+11;1;1;1;1;5;11;0;0;0;1966;A01;2005;NA;NA;NA;NA
2,005E+11;1;1;2;1;5;12;0;0;0;1955;B02;2005;NA;NA;NA;NA
2,005E+11;1;1;3;1;0;21;0;0;0;1989;A01;2005;NA;NA;NA;NA
2,005E+11;1;1;1;2;9;11;0;0;0;1953;B02;2005;NA;NA;NA;NA
