num_acc;senc;catv;occutc;obs;obsm;choc;manv;num_veh;annee;id_vehicule;motor
2,005E+11;0;7;0;0;2;1;1;A01;2005;NA;NA
2,005E+11;0;7;0;0;2;8;10;B02;2005;NA;NA
2,005E+11;0;7;0;0;2;7;16;A01;2005;NA;NA
2,005E+11;0;2;0;0;2;1;1;B02;2005;NA;NA
2,005E+11;0;2;0;0;2;1;1;A01;2005;NA;NA
2,005E+11;0;2;0;0;2;1;1;B02;2005;NA;NA
2,005E+11;0;7;0;0;2;1;13;A01;2005;NA;NA
2,005E+11;0;7;0;0;2;0;1;B02;2005;NA;NA
2,005E+11;0;7;0;0;2;8;1;C03;2005;NA;NA
2,005E+11;0;7;0;6;0;8;1;A01;2005;NA;NA
2,005E+11;0;7;0;8;0;7;1;A01;2005;NA;NA
2,005E+11;0;9;0;0;2;3;19;A01;2005;NA;NA
2,005E+11;0;7;0;0;2;2;1;B02;2005;NA;NA
2,005E+11;0;7;0;8;0;8;14;A01;2005;NA;NA
2,005E+11;0;7;0;0;2;1;1;A01;2005;NA;NA
2,005E+11;0;7;0;0;2;8;19;B02;2005;NA;NA
2,005E+11;0;7;0;0;0;2;1;A01;2005;NA;NA
2,005E+11;0;7;0;0;2;2;17;A01;2005;NA;NA
2,005E+11;0;7;0;0;0;8;1;B02;2005;NA;NA
2,005E+11;0;7;0;6;0;1;0;A01;2005;NA;NA
2,005E+11;0;7;0;2;0;3;1;A01;2005;NA;NA
2,005E+11;0;7;0;0;1;1;1;A01;2005;NA;NA
2,005E+11;1;7;0;0;1;2;2;A01;2005;NA;NA
2,005E+11;0;7;0;0;2;7;1;A01;2005;NA;NA
2,005E+11;0;7;0;0;2;1;1;B02;2005;NA;NA
2,005E+11;0;7;0;0;2;2;15;A01;2005;NA;NA
2,005E+11;0;5;0;0;2;1;1;B02;2005;NA;NA
2,005E+11;0;7;0;0;2;1;5;A01;2005;NA;NA
2,005E+11;0;7;0;0;2;1;2;B02;2005;NA;NA
2,005E+11;0;5;0;0;2;1;13;A01;2005;NA;NA
2,005E+11;0;7;0;0;9;3;15;B02;2005;NA;NA
2,005E+11;0;7;0;0;1;2;15;A01;2005;NA;NA
2,005E+11;0;7;0;0;2;2;20;A01;2005;NA;NA
2,005E+11;0;2;0;0;2;1;1;B02;2005;NA;NA
2,005E+11;0;7;0;0;2;1;1;A01;2005;NA;NA
2,005E+11;0;7;0;0;2;6;1;B02;2005;NA;NA
2,005E+11;0;2;0;0;2;1;17;A01;2005;NA;NA
2,005E+11;0;7;0;0;2;3;15;B02;2005;NA;NA
2,005E+11;0;7;0;0;2;3;1;A01;2005;NA;NA
2,005E+11;0;7;0;0;2;3;1;B02;2005;NA;NA
2,005E+11;0;18;1;0;1;2;1;A01;2005;NA;NA
2,005E+11;0;7;0;0;2;1;21;A01;2005;NA;NA
2,005E+11;0;7;0;0;0;3;17;A01;2005;NA;NA
2,005E+11;0;7;0;0;2;3;21;B02;2005;NA;NA
2,005E+11;0;7;0;0;2;1;15;A01;2005;NA;NA
2,005E+11;0;7;0;0;2;4;0;B02;2005;NA;NA
2,005E+11;0;7;0;0;2;3;1;A01;2005;NA;NA
2,005E+11;0;17;0;0;2;1;1;B02;2005;NA;NA
2,005E+11;0;18;0;0;2;7;17;A01;2005;NA;NA
2,005E+11;0;1;0;0;2;8;11;B02;2005;NA;NA
2,005E+11;0;7;0;0;0;1;1;A01;2005;NA;NA
2,005E+11;0;7;0;0;0;4;23;B02;2005;NA;NA
2,005E+11;0;7;0;0;0;4;23;C03;2005;NA;NA
2,005E+11;0;7;0;0;0;4;23;D04;2005;NA;NA
2,005E+11;0;7;0;0;0;4;23;E05;2005;NA;NA
2,005E+11;0;7;0;0;2;7;19;A01;2005;NA;NA
2,005E+11;0;7;0;0;2;1;1;B02;2005;NA;NA
2,005E+11;0;7;0;6;0;7;1;A01;2005;NA;NA
2,005E+11;0;10;0;0;9;3;15;A01;2005;NA;NA
2,005E+11;0;1;0;0;2;1;1;B02;2005;NA;NA
2,005E+11;0;7;0;1;0;1;1;A01;2005;NA;NA
2,005E+11;0;7;0;0;0;4;24;B02;2005;NA;NA
2,005E+11;0;7;0;1;0;2;1;A01;2005;NA;NA
2,005E+11;0;7;0;0;0;5;24;B02;2005;NA;NA
2,005E+11;0;7;0;0;0;2;2;A01;2005;NA;NA
2,005E+11;0;4;0;0;0;4;2;B02;2005;NA;NA
2,005E+11;0;7;0;0;2;7;4;A01;2005;NA;NA
2,005E+11;0;4;0;0;2;1;1;B02;2005;NA;NA
2,005E+11;0;7;0;0;0;3;1;A01;2005;NA;NA
2,005E+11;0;7;0;2;0;3;13;A01;2005;NA;NA
2,005E+11;0;7;0;13;0;1;1;A01;2005;NA;NA
2,005E+11;0;7;0;2;0;8;1;A01;2005;NA;NA
2,005E+11;0;2;0;0;2;1;5;A01;2005;NA;NA
2,005E+11;0;15;0;0;2;1;5;B02;2005;NA;NA
2,005E+11;0;2;0;0;2;1;19;B02;2005;NA;NA
2,005E+11;0;7;0;0;2;8;1;A01;2005;NA;NA
2,005E+11;0;7;0;0;2;3;11;A01;2005;NA;NA
2,005E+11;0;2;0;0;2;6;1;B02;2005;NA;NA
2,005E+11;0;7;0;0;1;3;11;A01;2005;NA;NA
2,005E+11;0;7;0;0;1;3;1;A01;2005;NA;NA
2,005E+11;0;7;0;0;1;7;1;A01;2005;NA;NA
2,005E+11;0;7;0;2;0;1;1;A01;2005;NA;NA
2,005E+11;0;7;0;3;4;0;1;A01;2005;NA;NA
2,005E+11;0;19;0;0;2;2;1;B02;2005;NA;NA
2,005E+11;0;7;0;1;0;9;1;A01;2005;NA;NA
2,005E+11;0;7;0;0;2;3;13;A01;2005;NA;NA
2,005E+11;0;7;0;0;2;3;1;B02;2005;NA;NA
2,005E+11;0;7;0;2;0;1;1;A01;2005;NA;NA
2,005E+11;0;7;0;0;2;1;5;A01;2005;NA;NA
2,005E+11;0;7;0;0;2;1;5;B02;2005;NA;NA
2,005E+11;0;7;0;0;2;8;5;A01;2005;NA;NA
2,005E+11;0;7;0;0;2;1;5;B02;2005;NA;NA
2,005E+11;0;2;0;0;2;4;1;A01;2005;NA;NA
2,005E+11;0;7;0;16;2;2;1;B02;2005;NA;NA
2,005E+11;0;2;0;0;2;1;1;A01;2005;NA;NA
2,005E+11;0;14;0;0;2;2;19;B02;2005;NA;NA
2,005E+11;0;7;0;0;2;1;1;B02;2005;NA;NA
2,005E+11;0;7;0;0;2;8;19;A01;2005;NA;NA
2,005E+11;0;7;0;0;0;1;1;A01;2005;NA;NA
